"source","target"
121554,113339
121569,100212
121629,84644
110225,111757
110232,94891
110270,110207
110363,132229
110389,73673
110636,111240
110638,99344
110918,100458
111016,68542
111126,150941
72092,126041
72466,79723
93085,132548
93137,78925
93194,117826
93292,134154
93645,134091
93966,105324
93985,139136
94019,83915
49070,83770
86010,121662
86098,121598
87232,91057
87463,93694
121751,136801
121772,96316
121820,139016
122038,104468
115594,86797
115635,86777
115770,96395
115772,115988
115921,89450
116137,126805
116209,46351
116373,151341
110344,97131
110570,123007
110576,75794
110649,113004
110989,114050
110999,106318
111020,116851
111182,109449
111357,108827
111435,45815
94891,132987
95014,151312
95314,120075
95435,97350
95554,94868
95696,111260
95754,123024
73555,80451
73814,52592
75312,133173
118170,130946
118241,84885
118251,90362
118264,102727
118338,152632
118424,150138
118537,136261
118598,117355
118746,130950
121612,124271
121655,153420
121662,111800
121737,104468
121816,118498
121848,125272
121871,104758
121955,106771
122107,90436
86131,123214
86346,122910
86620,109449
86648,103067
86687,98550
86701,154091
86777,86680
87347,104442
87452,91797
88073,113004
81815,100458
81928,85047
82868,150293
94107,93417
94226,138440
94400,125389
94412,69049
94533,124301
94548,109889
94689,126162
94754,103299
94762,123537
94858,86948
111160,95776
111214,153467
111257,93987
111613,
111795,103161
111846,129466
111969,91773
121561,81081
121598,125640
121826,94017
121854,117355
122063,121970
122064,100685
50853,140075
117011,115486
117017,100475
117025,108000
117077,135317
117200,94017
117247,119647
117257,128189
117263,111770
117348,113101
78049,76390
78082,137963
78793,88165
83768,126258
83811,125961
88024,111754
88224,131563
88281,128723
88641,93245
84754,131127
84955,91246
84993,91962
85332,130463
85384,119450
85412,88968
85417,100565
95911,153310
95993,87480
96025,131127
96136,116851
96216,128747
96280,103826
96294,88292
96302,93622
96496,90574
111599,151165
111800,
111988,113558
119002,130499
119302,150941
119393,132567
119600,113305
119646,117285
76176,111260
76590,151329
76960,99565
77138,125459
77496,84955
122363,107494
122538,96132
122569,93402
122388,126683
122507,75415
122534,93084
79971,109996
88250,67291
88276,68445
88351,89053
88420,98721
88600,127153
95825,101725
95988,133047
52853,132942
86176,126015
86182,87555
86785,89121
86797,95899
117504,110355
117521,125101
117564,128741
117587,105434
117662,114197
117747,104265
117791,153743
117913,153250
117923,95606
117925,94650
117950,128284
89072,107494
89090,103803
89689,101708
89944,111633
89959,132183
90003,107394
122887,125815
123024,138835
123033,102905
123058,55986
123233,100370
123339,59201
123369,111800
123582,127908
112273,118464
112486,76176
112645,108957
112685,112051
112713,114050
112807,153257
112900,124273
113004,88165
113081,110363
113141,77493
113332,153310
113339,113804
113457,93987
96755,108957
96854,90748
97508,135889
97705,130047
97711,67291
89184,150309
89450,89101
89515,139094
89568,99565
89643,81797
89981,150798
122478,150293
122515,91057
122571,124166
122611,106010
122630,98403
122972,129781
123007,119458
119838,46351
120032,108284
120087,102218
120405,120263
96523,103699
96574,102762
96634,125144
96690,128729
97256,72692
97277,94735
97554,89053
122841,109222
122857,115030
122875,98226
122910,153286
122913,127191
122927,122882
122995,116152
123003,133173
123014,86327
123028,121735
123037,81169
123054,91776
123077,79898
112332,97277
112366,105999
112389,105057
112434,
112466,92211
112662,73348
112680,73348
112795,90436
113148,77019
113217,
113309,124803
79735,69123
81169,110562
118295,125101
118425,125961
118458,128453
118499,118425
118702,94107
118771,154708
118883,109035
97775,85758
98057,100475
98157,139666
98163,113002
98191,138679
98206,107924
98279,97758
123230,139093
123248,109222
123331,113608
123373,130499
123395,126089
123609,129032
123668,82873
90436,73348
90991,127159
91122,127233
91252,126258
91460,127667
91476,87627
91582,91453
91822,59830
92055,100463
92083,150798
123164,132548
123175,125369
123303,134512
123329,109222
123335,109222
123684,105062
123714,123593
97924,103565
98039,121822
98058,97495
98200,133990
98202,79696
98374,90574
98556,127908
98674,127010
98737,88774
98934,68203
99128,108260
99374,117195
99381,93145
99422,113013
99530,97471
120576,108158
120636,108284
120650,102465
120757,123164
120907,127010
120949,73348
121009,115624
121150,108356
121153,109798
90315,96933
90422,121014
90469,89450
90749,91057
90882,91569
91321,96395
91458,119962
91467,89223
113546,108354
113647,127169
113678,93911
114197,150340
114229,92215
114552,113155
114705,108480
114837,98336
114896,95718
114926,150998
114998,124802
115027,115030
123647,91437
123822,75279
123930,128345
123946,100550
124185,103671
124270,89495
87064,106387
87094,110854
87366,133048
87683,109346
57748,127756
60093,94813
113319,105175
113357,100216
113613,114213
113623,92279
113731,105146
113804,154755
114037,108158
114042,105487
114083,137199
114176,112525
114230,83811
114232,100458
114346,66297
81081,120030
81206,151360
81246,124760
81524,64132
81826,127376
81851,100857
81936,112680
118890,124712
118924,127153
118943,85300
118989,
119008,76390
119390,93224
119433,112876
119489,109406
119603,93767
119631,106387
115128,98336
115427,133044
115469,113804
115518,88206
115565,100971
115574,105324
115901,136275
121565,127191
121570,98637
121831,75279
121849,118537
121850,122882
121875,100857
100064,115509
100146,130199
